run,lr,weight_decay,batch_size,epochs,momentum,best_acc,final_acc,status
1,0.0035,0.0001,128,50,0.9,0.7078,0.7040,ok
2,0.004,0.0001,128,50,0.9,0.6983,0.6910,ok
3,0.0045,0.0001,128,50,0.9,0.7003,0.6931,ok
4,0.005,0.0001,128,50,0.9,0.7118,0.7105,ok
5,0.0055,0.0001,128,50,0.9,0.7153,0.7037,ok
6,0.006,0.0001,128,50,0.9,0.7139,0.7045,ok
7,0.0065,0.0001,128,50,0.9,0.7126,0.7082,ok
8,0.007,0.0001,128,50,0.9,0.7157,0.7085,ok
9,0.005,5e-05,128,50,0.9,0.7137,0.7050,ok
10,0.005,7.5e-05,128,50,0.9,0.7130,0.7067,ok
11,0.005,0.0001,128,50,0.9,0.7118,0.7105,ok
12,0.005,0.00015,128,50,0.9,0.7137,0.7042,ok
13,0.005,0.0002,128,50,0.9,0.7135,0.7027,ok
14,0.005,0.0003,128,50,0.9,0.7123,0.7082,ok
15,0.005,0.0001,128,50,0.88,0.6942,0.6888,ok
16,0.005,0.0001,128,50,0.89,0.7004,0.6981,ok
17,0.005,0.0001,128,50,0.9,0.7118,0.7105,ok
18,0.005,0.0001,128,50,0.91,0.7146,0.7052,ok
19,0.005,0.0001,128,50,0.92,0.7200,0.7200,ok
20,0.005,5e-05,128,60,0.9,0.7152,0.7070,ok
21,0.005,7.5e-05,128,60,0.9,0.7151,0.7023,ok
22,0.005,0.0001,128,60,0.9,0.7205,0.7114,ok
23,0.0045,5e-05,128,60,0.9,0.7108,0.6950,ok
24,0.0055,5e-05,128,60,0.9,0.7244,0.7129,ok
25,0.005,5e-05,128,60,0.91,0.7216,0.7216,ok
26,0.005,5e-05,128,60,0.89,0.7068,0.7027,ok
27,0.0042,0.00015,128,60,0.91,0.7083,0.6985,ok
28,0.0059,5e-05,128,60,0.9,0.7180,0.7147,ok
29,0.0048,0.00015,128,60,0.91,0.7223,0.7136,ok
30,0.0056,0.0001,128,60,0.9,0.7242,0.7091,ok
31,0.004,3e-05,128,50,0.89,0.7052,0.7052,ok
32,0.0042,3e-05,128,60,0.9,0.7042,0.7018,ok
