run,lr,weight_decay,batch_size,epochs,momentum,best_acc,final_acc,status
1,0.001,0.0,128,40,0.9,0.6319,0.6319,ok
2,0.005,0.0,128,40,0.9,0.7021,0.7021,ok
3,0.01,0.0,128,40,0.9,0.6905,0.6905,ok
4,0.02,0.0,128,40,0.9,0.6882,0.6866,ok
5,0.05,0.0,128,40,0.9,0.6161,0.6161,ok
6,0.1,0.0,128,40,0.9,0.4313,0.4131,ok
7,0.01,0.0,128,40,0.9,0.6905,0.6905,ok
8,0.01,0.0001,128,40,0.9,0.6959,0.6959,ok
9,0.01,0.0005,128,40,0.9,0.6927,0.6925,ok
10,0.01,0.001,128,40,0.9,0.6865,0.6770,ok
11,0.01,0.005,128,40,0.9,0.6692,0.6315,ok
12,0.01,0.0,32,40,0.9,0.6576,0.6295,ok
13,0.01,0.0,64,40,0.9,0.6841,0.6756,ok
14,0.01,0.0,128,40,0.9,0.6905,0.6905,ok
15,0.01,0.0,256,40,0.9,0.6916,0.6852,ok
16,0.01,0.0,128,40,0.85,0.6886,0.6791,ok
17,0.01,0.0,128,40,0.9,0.6905,0.6905,ok
18,0.01,0.0,128,40,0.95,0.6824,0.6739,ok
19,0.01,0.0005,128,40,0.9,0.6927,0.6925,ok
20,0.02,0.001,128,40,0.9,0.6837,0.6696,ok
21,0.05,0.0005,64,40,0.9,0.5115,0.4987,ok
22,0.01,0.001,64,40,0.95,0.6560,0.6532,ok
23,0.02,0.0005,64,40,0.95,0.5716,0.5508,ok
24,0.01,0.0005,256,40,0.9,0.6862,0.6789,ok
25,0.1,1e-05,32,40,0.99,0.1000,0.1000,ok
26,0.01,0.0001,64,40,0.85,0.6925,0.6896,ok
27,0.002,0.005,32,40,0.95,0.6631,0.6522,ok
28,0.02,0.0,32,40,0.8,0.6404,0.6133,ok
29,0.008,0.0001,32,40,0.95,0.6045,0.5951,ok
30,0.008,0.005,256,40,0.85,0.6555,0.6555,ok
